label-conc_cb	mean_t-conc_cb	2.5%q-conc_cb	97.5%q-conc_cb	label-indATP	mean_t-indATP	2.5%q-indATP	97.5%q-indATP	label-indEF	mean_t-indEF	2.5%q-indEF	97.5%q-indEF	label-indLeu	mean_t-indLeu	2.5%q-indLeu	97.5%q-indLeu	label-indSRP	mean_t-indSRP	2.5%q-indSRP	97.5%q-indSRP	label-indTyr	mean_t-indTyr	2.5%q-indTyr	97.5%q-indTyr	label-noATP	mean_t-noATP	2.5%q-noATP	97.5%q-noATP	label-noEF	mean_t-noEF	2.5%q-noEF	97.5%q-noEF	label-noLeu	mean_t-noLeu	2.5%q-noLeu	97.5%q-noLeu	label-noSRP	mean_t-noSRP	2.5%q-noSRP	97.5%q-noSRP	label-noTyr	mean_t-noTyr	2.5%q-noTyr	97.5%q-noTyr	label-bsinBV	mean_t-bsinBV	2.5%q-bsinBV	97.5%q-bsinBV
t_n423_CG-OXYPHOTOBACTERIA-DUP	2215.808	2012.33	2436.25	t_n423_CG-OXYPHOTOBACTERIA-DUP	2307.191	2010.73	2639.18	t_n423_CG-OXYPHOTOBACTERIA-DUP	2613.563	2064.05	3156.6	t_n423_CG-OXYPHOTOBACTERIA-DUP	2372.795	2076.51	2675.13	t_n423_CG-OXYPHOTOBACTERIA-DUP	2225.691	1977.64	2607.63	t_n423_CG-OXYPHOTOBACTERIA-DUP	2362.932	1997.38	2921.81	t_n414_CG-OXYPHOTOBACTERIA-DUP	2221.432	2011.58	2456.22	t_n438_TG-EUKARYA-ARCH-DUP	2302.017	2092.73	2521.87	t_n419_CG-OXYPHOTOBACTERIA-DUP	2165.139	1978.19	2412.07	t_n423_CG-OXYPHOTOBACTERIA-DUP	2277.414	2037.57	2510.9	t_n420_CG-OXYPHOTOBACTERIA-DUP	2228.262	2012.21	2462.35	t_n423_CG-OXYPHOTOBACTERIA-DUP	2192.867	1999.57	2421.46
t_n426_ARCHAEPLASTIDA-DUP4	1102.579	1035.3	1201.82	t_n426_ARCHAEPLASTIDA-DUP4	1269.565	1096.65	1462.51	t_n426_ARCHAEPLASTIDA-DUP4	1498.847	1234.91	1728.61	t_n426_ARCHAEPLASTIDA-DUP4	1180.519	1040.05	1398.55	t_n426_ARCHAEPLASTIDA-DUP4	1387.099	1170.72	1622.68	t_n426_ARCHAEPLASTIDA-DUP4	1601.3	1373.93	1790.28	t_n417_ARCHAEPLASTIDA-DUP4	1112.123	1035.97	1224.86	t_n439_LECA-DUP	1313.886	1212.33	1439.15	t_n422_ARCHAEPLASTIDA-DUP4	1156.218	1050.19	1285.66	t_n426_ARCHAEPLASTIDA-DUP4	1126.952	1039.47	1246	t_n423_ARCHAEPLASTIDA-DUP4	1125.759	1039.79	1241.71	t_n426_ARCHAEPLASTIDA-DUP4	1128.214	1042.22	1239.63
t_n430_EMBRYOPHYTA-DUP4	446.185	431	482.52	t_n430_EMBRYOPHYTA-DUP4	467.936	432.12	513.89	t_n430_EMBRYOPHYTA-DUP4	478.922	433.72	516.13	t_n430_EMBRYOPHYTA-DUP4	477.864	433.62	515.83	t_n430_EMBRYOPHYTA-DUP4	472.222	432.58	515.12	t_n430_EMBRYOPHYTA-DUP4	469.122	432.12	514.49	t_n421_EMBRYOPHYTA-DUP4	451.548	431.2	496.67	t_n442_FUNGI-DUP	749.826	645.74	862.37	t_n425_EMBRYOPHYTA-DUP4	448.292	431.04	490.8	t_n430_EMBRYOPHYTA-DUP4	446.53	431	484.37	t_n427_EMBRYOPHYTA-DUP4	457.889	431.62	505.37	t_n430_EMBRYOPHYTA-DUP4	443.666	430.91	475.38
t_n456_TG-EUKARYA-ARCH-DUP	2251.302	2040.24	2477.66	t_n456_TG-EUKARYA-ARCH-DUP	2416.313	2126.54	2714.95	t_n456_TG-EUKARYA-ARCH-DUP	2598.017	2208.67	3013.64	t_n456_TG-EUKARYA-ARCH-DUP	2365.439	2036.37	2700.95	t_n456_TG-EUKARYA-ARCH-DUP	2881.529	2528.89	3223.99	t_n456_TG-EUKARYA-ARCH-DUP	2669.464	2227.17	3152.68	t_n447_TG-EUKARYA-ARCH-DUP	2287.408	2060.28	2528.41	t_n444_METAZOA	604.233	591.17	610.66	t_n451_TG-EUKARYA-ARCH-DUP	2313.11	2080.73	2558.56	t_n456_TG-EUKARYA-ARCH-DUP	2265.605	2038.96	2507.11	t_n453_TG-EUKARYA-ARCH-DUP	2324.093	2092.57	2568.83	t_n456_TG-EUKARYA-ARCH-DUP	2289.32	2063.92	2527.73
t_n457_LECA-DUP	1293.646	1200.67	1411.81	t_n457_LECA-DUP	1552.366	1349.93	1778.48	t_n457_LECA-DUP	1782.75	1544.1	1916.05	t_n457_LECA-DUP	1414.616	1206.29	1678.25	t_n457_LECA-DUP	1554.183	1319.15	1808.7	t_n457_LECA-DUP	1840.863	1677.23	1944.62	t_n448_LECA-DUP	1279.151	1176.8	1409.93	t_n445_EUMETAZOA-DUP3	567.828	561.31	581.96	t_n452_LECA-DUP	1392.31	1261.81	1546.58	t_n457_LECA-DUP	1345.886	1229.54	1489.2	t_n454_LECA-DUP	1315.581	1206.41	1450.7	t_n457_LECA-DUP	1313.442	1207.18	1444.33
t_n460_FUNGI-DUP	683.842	586.32	788.89	t_n460_FUNGI-DUP	801.702	600.76	1024.86	t_n460_FUNGI-DUP	654.58	407.79	1068.91	t_n460_FUNGI-DUP	578.237	419.56	788.3	t_n460_FUNGI-DUP	857.286	598.49	1152.57	t_n460_FUNGI-DUP	818.484	424.03	1359.36	t_n451_FUNGI-DUP	589.541	477.84	712.44	t_n450_ARCHAEPLASTIDA-DUP5	1115.162	1037.49	1221.43	t_n455_FUNGI-DUP	686.107	562.98	819.67	t_n460_FUNGI-DUP	683.59	571.37	806.88	t_n457_FUNGI-DUP	702.856	596.99	817.94	t_n460_FUNGI-DUP	697.615	591.21	813.93
t_n462_METAZOA	605.449	594.59	611	t_n462_METAZOA	596.581	577.03	609.46	t_n462_METAZOA	597.312	577.37	609.61	t_n462_METAZOA	600.455	581.55	610.02	t_n462_METAZOA	596.17	576.7	609.43	t_n462_METAZOA	594.14	575.75	609.15	t_n452_METAZOA	604.303	591.25	610.71	t_n453_EMBRYOPHYTA-DUP5	467.231	432.48	512.18	t_n457_METAZOA	603.413	588.89	610.51	t_n462_METAZOA	604.772	592.63	610.81	t_n459_METAZOA	604.747	592.62	610.83	t_n462_METAZOA	606.431	597.42	611.42
t_n463_EUMETAZOA-DUP3	566.192	561.25	577.65	t_n463_EUMETAZOA-DUP3	574.206	561.7	590.1	t_n463_EUMETAZOA-DUP3	573.313	561.6	589.84	t_n463_EUMETAZOA-DUP3	570.756	561.42	587.94	t_n463_EUMETAZOA-DUP3	573.673	561.64	589.95	t_n463_EUMETAZOA-DUP3	574.742	561.75	590.31	t_n453_EUMETAZOA-DUP3	567.369	561.29	581.15	t_n454_EUDICOT-MONOCOT-DUP4	227.975	187.98	251.12	t_n458_EUMETAZOA-DUP3	568.281	561.33	583.27	t_n463_EUMETAZOA-DUP3	566.982	561.28	579.87	t_n460_EUMETAZOA-DUP3	566.947	561.27	579.76	t_n463_EUMETAZOA-DUP3	565.197	561.22	574.78
t_n468_ARCHAEPLASTIDA-DUP5	1102.579	1035.3	1201.82	t_n468_ARCHAEPLASTIDA-DUP5	1269.565	1096.65	1462.51	t_n468_ARCHAEPLASTIDA-DUP5	1498.847	1234.91	1728.61	t_n468_ARCHAEPLASTIDA-DUP5	1180.519	1040.05	1398.55	t_n468_ARCHAEPLASTIDA-DUP5	1387.099	1170.72	1622.68	t_n468_ARCHAEPLASTIDA-DUP5	1601.3	1373.93	1790.28	t_n458_ARCHAEPLASTIDA-DUP5	1112.123	1035.97	1224.86	t_n461_CG-FORAMINIFERA-DUP2	579.095	525.07	675.99	t_n463_ARCHAEPLASTIDA-DUP5	1156.218	1050.19	1285.66	t_n468_ARCHAEPLASTIDA-DUP5	1126.952	1039.47	1246	t_n465_ARCHAEPLASTIDA-DUP5	1125.759	1039.79	1241.71	t_n468_ARCHAEPLASTIDA-DUP5	1128.214	1042.22	1239.63
t_n471_EMBRYOPHYTA-DUP5	446.185	431	482.52	t_n471_EMBRYOPHYTA-DUP5	467.936	432.12	513.89	t_n471_EMBRYOPHYTA-DUP5	478.922	433.72	516.13	t_n471_EMBRYOPHYTA-DUP5	477.864	433.62	515.83	t_n471_EMBRYOPHYTA-DUP5	472.222	432.58	515.12	t_n471_EMBRYOPHYTA-DUP5	469.122	432.12	514.49	t_n461_EMBRYOPHYTA-DUP5	451.548	431.2	496.67	nocal	nocal	nocal	nocal	t_n465_EMBRYOPHYTA-DUP5	448.292	431.04	490.8	t_n471_EMBRYOPHYTA-DUP5	446.53	431	484.37	t_n468_EMBRYOPHYTA-DUP5	457.889	431.62	505.37	t_n471_EMBRYOPHYTA-DUP5	443.666	430.91	475.38
t_n472_EUDICOT-MONOCOT-DUP4	249.716	235.23	267.98	t_n472_EUDICOT-MONOCOT-DUP4	196.318	133.84	247.03	t_n472_EUDICOT-MONOCOT-DUP4	238.665	206.61	256.13	t_n472_EUDICOT-MONOCOT-DUP4	221.202	165.7	250.75	t_n472_EUDICOT-MONOCOT-DUP4	185.647	127.78	246.99	t_n472_EUDICOT-MONOCOT-DUP4	204.829	134.01	249.37	t_n462_EUDICOT-MONOCOT-DUP4	248.036	232.25	265.16	nocal	nocal	nocal	nocal	t_n466_EUDICOT-MONOCOT-DUP4	249.075	233.59	267.62	t_n472_EUDICOT-MONOCOT-DUP4	249.538	234.8	267.72	t_n469_EUDICOT-MONOCOT-DUP4	246.883	230.53	262.74	t_n472_EUDICOT-MONOCOT-DUP4	250.2	236.14	268.57
t_n480_CG-FORAMINIFERA-DUP2	568.033	524.17	655.56	t_n480_CG-FORAMINIFERA-DUP2	672.722	533.5	876.52	t_n480_CG-FORAMINIFERA-DUP2	903.039	539.15	1432.75	t_n480_CG-FORAMINIFERA-DUP2	860.258	610.62	1125.93	t_n480_CG-FORAMINIFERA-DUP2	667.605	530.02	900.6	t_n480_CG-FORAMINIFERA-DUP2	849.752	535.36	1404.64	t_n470_CG-FORAMINIFERA-DUP2	584.887	525.08	697.17	nocal	nocal	nocal	nocal	t_n474_CG-FORAMINIFERA-DUP2	575.578	524.4	679.79	t_n480_CG-FORAMINIFERA-DUP2	578.451	524.62	684.5	t_n477_CG-FORAMINIFERA-DUP2	585.108	525.33	692.21	t_n480_CG-FORAMINIFERA-DUP2	574.44	524.47	672.82
